id,event_key,profile_key,trigger_kind,region_types,required_tags,excluded_tags,map_ids,avatar_filters,action_keys,weight,cooldown_months,max_per_month,text_id,comment
ID,stable event key,profile key,region_tick/avatar_witness/action_echo,region types separated by ;,required tags separated by ;,excluded tags separated by ;,map ids separated by ;,avatar filters separated by ;,action keys separated by ;,weight,cooldown months,max per month,event text i18n key,maintenance note
1,herb_vendor_market_argument,herb_vendor,region_tick,city,city_market;medicine,,,,,1.0,24,1,BACKGROUND_NPC_EVENT_HERB_VENDOR_MARKET_ARGUMENT,药材年份争执
2,storyteller_rumor_teahouse,storyteller,region_tick,city,teahouse;rumor,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_STORYTELLER_RUMOR_TEAHOUSE,茶馆传闻
3,patrol_runner_city_order,patrol_runner,region_tick,city,official_order,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_PATROL_RUNNER_CITY_ORDER,巡街秩序
4,tide_guide_warns_tide,tide_guide,region_tick,city,port;tide,,island_seas,,,1.0,18,1,BACKGROUND_NPC_EVENT_TIDE_GUIDE_WARNS_TIDE,潮汐警告
5,dock_laborer_night_cargo,dock_laborer,region_tick,city,port;sea_trade,,island_seas,,,0.9,18,1,BACKGROUND_NPC_EVENT_DOCK_LABORER_NIGHT_CARGO,码头夜货
6,mountain_guard_watches_cloud,mountain_guard,region_tick,city,mountain_pass;frontier,,mountain_frontier,,,1.0,18,1,BACKGROUND_NPC_EVENT_MOUNTAIN_GUARD_WATCHES_CLOUD,山口守卒
7,mine_survivor_whispers,mine_survivor,region_tick,city,mining;frontier,,mountain_frontier,,,0.8,24,1,BACKGROUND_NPC_EVENT_MINE_SURVIVOR_WHISPERS,矿洞幸存者
8,sect_gate_child_waiting,sect_gate_child,region_tick,sect,sect_edge;pilgrimage,,,,,1.0,18,1,BACKGROUND_NPC_EVENT_SECT_GATE_CHILD_WAITING,山门求仙
9,yamen_clerk_late_records,yamen_clerk,region_tick,city,official_order,,,,,0.8,24,1,BACKGROUND_NPC_EVENT_YAMEN_CLERK_LATE_RECORDS,衙门案卷
10,black_market_broker_hidden_map,black_market_broker,region_tick,city,black_market;rumor,,,,,0.8,24,1,BACKGROUND_NPC_EVENT_BLACK_MARKET_BROKER_HIDDEN_MAP,黑市残图
11,market_reacts_to_yao,herb_vendor,avatar_witness,city,city_market,,,race=yao,,1.2,12,1,BACKGROUND_NPC_EVENT_MARKET_REACTS_TO_YAO,妖族经过市集
12,store_reacts_to_high_realm,herb_vendor,avatar_witness,city,medicine,,,realm_min=FOUNDATION_ESTABLISHMENT,,1.0,12,1,BACKGROUND_NPC_EVENT_STORE_REACTS_TO_HIGH_REALM,高境界修士进店
13,yamen_reacts_to_official,yamen_clerk,avatar_witness,city,official_order,,,official=any,,1.0,12,1,BACKGROUND_NPC_EVENT_YAMEN_REACTS_TO_OFFICIAL,官身入城
14,sect_servant_reacts_to_disciple,sect_errand_servant,avatar_witness,sect,sect_edge,,,sect=any,,1.0,12,1,BACKGROUND_NPC_EVENT_SECT_SERVANT_REACTS_TO_DISCIPLE,宗门弟子下山
15,patrol_fears_evil_avatar,patrol_runner,avatar_witness,city,city_order,,,alignment=EVIL,,1.0,12,1,BACKGROUND_NPC_EVENT_PATROL_FEARS_EVIL_AVATAR,邪道经过
16,herb_vendor_avatar_buy_echo,herb_vendor,action_echo,city,medicine,,,,Buy,1.0,12,1,BACKGROUND_NPC_EVENT_HERB_VENDOR_AVATAR_BUY_ECHO,购买回声
17,appraiser_avatar_sell_echo,appraiser,action_echo,city,market;appraisal,,,,Sell,1.0,12,1,BACKGROUND_NPC_EVENT_APPRAISER_AVATAR_SELL_ECHO,出售回声
18,grain_keeper_govern_echo,grain_keeper,action_echo,city,official_order;grain,,,,Govern,1.0,18,1,BACKGROUND_NPC_EVENT_GRAIN_KEEPER_GOVERN_ECHO,治理回声
19,healer_help_people_echo,herb_vendor,action_echo,city,medicine,,,,HelpPeople,1.0,12,1,BACKGROUND_NPC_EVENT_HEALER_HELP_PEOPLE_ECHO,救济回声
20,patrol_plunder_echo,patrol_runner,action_echo,city,city_order,,,,PlunderPeople;EatMortals;DevourPeople,1.0,12,1,BACKGROUND_NPC_EVENT_PATROL_PLUNDER_ECHO,掠夺恐惧
21,sect_errand_mission_echo,sect_errand_servant,action_echo,sect,sect_edge,,,,SectMission,1.0,12,1,BACKGROUND_NPC_EVENT_SECT_ERRAND_MISSION_ECHO,宗门任务回声
22,ferryman_move_region_echo,tide_guide,action_echo,city,port;tide,,island_seas,,MoveToRegion,0.8,12,1,BACKGROUND_NPC_EVENT_FERRYMAN_MOVE_REGION_ECHO,渡口提醒
23,medicine_assistant_avatar_inquiry,medicine_assistant,avatar_witness,city,medicine,,,,,1.0,10,1,BACKGROUND_NPC_EVENT_MEDICINE_ASSISTANT_AVATAR_INQUIRY,普通问药交互
24,tea_shed_elder_avatar_pause,tea_shed_elder,avatar_witness,city,teahouse,,,,,0.9,10,1,BACKGROUND_NPC_EVENT_TEA_SHED_ELDER_AVATAR_PAUSE,茶棚停步
25,mountain_guard_avatar_warning,mountain_guard,avatar_witness,city,mountain_pass;frontier,,mountain_frontier,,,0.9,10,1,BACKGROUND_NPC_EVENT_MOUNTAIN_GUARD_AVATAR_WARNING,山口提醒
26,sect_gate_child_avatar_question,sect_gate_child,avatar_witness,sect,sect_edge,,,,,0.9,10,1,BACKGROUND_NPC_EVENT_SECT_GATE_CHILD_AVATAR_QUESTION,山门询问
27,sect_field_farmer_leaf_spots,sect_field_farmer,region_tick,sect,spirit_field,,,,,1.0,18,1,BACKGROUND_NPC_EVENT_SECT_FIELD_FARMER_LEAF_SPOTS,药田异样
28,alchemy_fireworker_ashes,alchemy_fireworker,region_tick,sect,alchemy,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_ALCHEMY_FIREWORKER_ASHES,丹房炉灰
29,scripture_copyist_wet_pages,scripture_copyist,region_tick,sect,archive,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_SCRIPTURE_COPYIST_WET_PAGES,藏经抄书
30,sect_tenant_grain_cart,sect_tenant,region_tick,sect,tenant,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_SECT_TENANT_GRAIN_CART,山下佃户
31,immortal_parent_waits,immortal_seeking_parent,region_tick,sect,pilgrimage,,,,,1.0,18,1,BACKGROUND_NPC_EVENT_IMMORTAL_PARENT_WAITS,求仙父母
32,sect_buyer_market_list,sect_buyer,region_tick,sect,market,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_SECT_BUYER_MARKET_LIST,宗门采买
33,sect_field_farmer_avatar_path,sect_field_farmer,avatar_witness,sect,spirit_field,,,sect=any,,0.8,10,1,BACKGROUND_NPC_EVENT_SECT_FIELD_FARMER_AVATAR_PATH,弟子过药田
34,scripture_copyist_avatar_silence,scripture_copyist,avatar_witness,sect,archive,,,sect=any,,0.8,10,1,BACKGROUND_NPC_EVENT_SCRIPTURE_COPYIST_AVATAR_SILENCE,弟子过藏经
35,hunter_forest_snare,hunter,region_tick,normal,forest,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_HUNTER_FOREST_SNARE,猎户收索
36,herb_gatherer_mist_basket,herb_gatherer,region_tick,normal,medicine;forest,,,,,1.0,18,1,BACKGROUND_NPC_EVENT_HERB_GATHERER_MIST_BASKET,雾中采药
37,ferryman_river_rope,ferryman,region_tick,normal,ferry;river_trade,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_FERRYMAN_RIVER_ROPE,渡口绳索
38,caravan_merchant_roadside_account,caravan_merchant,region_tick,city,caravan;roadside,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_CARAVAN_MERCHANT_ROADSIDE_ACCOUNT,商旅清账
39,postal_courier_late_seal,postal_courier,region_tick,city,post;official_order,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_POSTAL_COURIER_LATE_SEAL,驿卒晚印
40,innkeeper_room_screen,innkeeper,region_tick,city,inn,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_INNKEEPER_ROOM_SCREEN,客栈屏风
41,blacksmith_spark_talisman,blacksmith,region_tick,city,forge,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_BLACKSMITH_SPARK_TALISMAN,铁匠火星
42,artifact_shopkeeper_sealed_shelf,artifact_shopkeeper,region_tick,city,artifact,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_ARTIFACT_SHOPKEEPER_SEALED_SHELF,法器封柜
43,pawnshop_clerk_old_token,pawnshop_clerk,region_tick,city,pawnshop;appraisal,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_PAWNSHOP_CLERK_OLD_TOKEN,当铺旧符
44,tax_collector_dawn_scales,tax_collector,region_tick,city,tax;official_order,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_TAX_COLLECTOR_DAWN_SCALES,税吏晨秤
45,constable_case_thread,constable,region_tick,city,casework;city_order,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_CONSTABLE_CASE_THREAD,捕快案线
46,night_watchman_third_watch,night_watchman,region_tick,city,night_watch,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_NIGHT_WATCHMAN_THIRD_WATCH,三更梆声
47,household_clerk_red_ink,household_clerk,region_tick,city,household_register;official_order,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_HOUSEHOLD_CLERK_RED_INK,户籍朱墨
48,notice_crier_new_edict,notice_crier,region_tick,city,bulletin;court,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_NOTICE_CRIER_NEW_EDICT,新榜文
49,imperial_courier_dusty_case,imperial_courier,region_tick,city,court;post,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_IMPERIAL_COURIER_DUSTY_CASE,朝廷急递
50,palace_attendant_outer_rumor,palace_attendant,region_tick,city,palace;court;rumor,,,,,0.7,24,1,BACKGROUND_NPC_EVENT_PALACE_ATTENDANT_OUTER_RUMOR,宫门传闻
51,censor_retainer_quiet_inquiry,censor_retainer,region_tick,city,court;casework,,,,,0.8,24,1,BACKGROUND_NPC_EVENT_CENSOR_RETAINER_QUIET_INQUIRY,御史暗访
52,shipwright_keel_mark,shipwright,region_tick,city,shipyard;port,,island_seas,,,0.9,18,1,BACKGROUND_NPC_EVENT_SHIPWRIGHT_KEEL_MARK,船坞龙骨
