id,profile_key,role_label_id,category,default_scene_tags,comment
ID,stable profile key,role label i18n key,profile category,default scene tags separated by ;,maintenance note
1,herb_vendor,BACKGROUND_NPC_ROLE_HERB_VENDOR,city_market,city_market;medicine,药材商
2,storyteller,BACKGROUND_NPC_ROLE_STORYTELLER,city_market,city_market;teahouse;rumor,茶馆说书人
3,patrol_runner,BACKGROUND_NPC_ROLE_PATROL_RUNNER,official_order,official_order;city_order,巡街差役
4,tide_guide,BACKGROUND_NPC_ROLE_TIDE_GUIDE,port,port;tide;sea_trade,潮汐引路人
5,dock_laborer,BACKGROUND_NPC_ROLE_DOCK_LABORER,port,port;sea_trade,码头脚夫
6,mountain_guard,BACKGROUND_NPC_ROLE_MOUNTAIN_GUARD,mountain_frontier,mountain_pass;frontier,山口守卒
7,mine_survivor,BACKGROUND_NPC_ROLE_MINE_SURVIVOR,mountain_frontier,mining;frontier,矿洞幸存者
8,sect_gate_child,BACKGROUND_NPC_ROLE_SECT_GATE_CHILD,sect_edge,sect;sect_edge;pilgrimage,山门守童
9,sect_errand_servant,BACKGROUND_NPC_ROLE_SECT_ERRAND_SERVANT,sect_edge,sect;sect_edge;market,外门杂役
10,yamen_clerk,BACKGROUND_NPC_ROLE_YAMEN_CLERK,official_order,official_order;city_order,衙门书吏
11,grain_keeper,BACKGROUND_NPC_ROLE_GRAIN_KEEPER,official_order,official_order;grain,粮仓管事
12,black_market_broker,BACKGROUND_NPC_ROLE_BLACK_MARKET_BROKER,black_market,black_market;market;rumor,黑市掮客
13,appraiser,BACKGROUND_NPC_ROLE_APPRAISER,black_market,black_market;market;appraisal,鉴货朝奉
14,medicine_assistant,BACKGROUND_NPC_ROLE_MEDICINE_ASSISTANT,city_market,city_market;medicine,药铺伙计
15,tea_shed_elder,BACKGROUND_NPC_ROLE_TEA_SHED_ELDER,city_market,teahouse;rumor;roadside,茶棚老人
16,sect_field_farmer,BACKGROUND_NPC_ROLE_SECT_FIELD_FARMER,sect_edge,sect;sect_edge;spirit_field,药田农夫
17,alchemy_fireworker,BACKGROUND_NPC_ROLE_ALCHEMY_FIREWORKER,sect_edge,sect;sect_edge;alchemy,炼丹房火工
18,scripture_copyist,BACKGROUND_NPC_ROLE_SCRIPTURE_COPYIST,sect_edge,sect;sect_edge;archive,藏经阁抄书人
19,sect_tenant,BACKGROUND_NPC_ROLE_SECT_TENANT,sect_edge,sect;sect_edge;tenant,山下佃户
20,immortal_seeking_parent,BACKGROUND_NPC_ROLE_IMMORTAL_SEEKING_PARENT,sect_edge,sect;sect_edge;pilgrimage,求仙父母
21,sect_buyer,BACKGROUND_NPC_ROLE_SECT_BUYER,sect_edge,sect;sect_edge;market,宗门采买人
22,hunter,BACKGROUND_NPC_ROLE_HUNTER,wilderness,wild;forest;roadside,猎户
23,herb_gatherer,BACKGROUND_NPC_ROLE_HERB_GATHERER,wilderness,wild;medicine;forest,采药人
24,ferryman,BACKGROUND_NPC_ROLE_FERRYMAN,wilderness,river_trade;roadside;ferry,摆渡人
25,caravan_merchant,BACKGROUND_NPC_ROLE_CARAVAN_MERCHANT,trade,market;roadside;caravan,远行商旅
26,postal_courier,BACKGROUND_NPC_ROLE_POSTAL_COURIER,official_order,official_order;post;roadside,驿卒
27,innkeeper,BACKGROUND_NPC_ROLE_INNKEEPER,city_market,inn;market;roadside,客栈掌柜
28,blacksmith,BACKGROUND_NPC_ROLE_BLACKSMITH,city_market,forge;market,铁匠
29,artifact_shopkeeper,BACKGROUND_NPC_ROLE_ARTIFACT_SHOPKEEPER,city_market,artifact;market,法器铺掌柜
30,weapon_shopkeeper,BACKGROUND_NPC_ROLE_WEAPON_SHOPKEEPER,city_market,weapon;market,兵器铺老板
31,pawnshop_clerk,BACKGROUND_NPC_ROLE_PAWNSHOP_CLERK,city_market,pawnshop;appraisal;market,当铺朝奉
32,tax_collector,BACKGROUND_NPC_ROLE_TAX_COLLECTOR,official_order,official_order;tax;city_order,税吏
33,constable,BACKGROUND_NPC_ROLE_CONSTABLE,official_order,official_order;city_order;casework,捕快
34,night_watchman,BACKGROUND_NPC_ROLE_NIGHT_WATCHMAN,official_order,city_order;night_watch,更夫
35,household_clerk,BACKGROUND_NPC_ROLE_HOUSEHOLD_CLERK,official_order,official_order;household_register,户籍小吏
36,notice_crier,BACKGROUND_NPC_ROLE_NOTICE_CRIER,official_order,official_order;court;bulletin,布告官
37,relief_officer,BACKGROUND_NPC_ROLE_RELIEF_OFFICER,official_order,official_order;relief;grain,赈灾官
38,government_gatekeeper,BACKGROUND_NPC_ROLE_GOVERNMENT_GATEKEEPER,official_order,official_order;gate;city_order,官府门子
39,imperial_courier,BACKGROUND_NPC_ROLE_IMPERIAL_COURIER,court,court;post;official_order,驿传官
40,palace_attendant,BACKGROUND_NPC_ROLE_PALACE_ATTENDANT,court,court;palace;rumor,宫门内侍
41,censor_retainer,BACKGROUND_NPC_ROLE_CENSOR_RETAINER,court,court;official_order;casework,御史随员
42,shipwright,BACKGROUND_NPC_ROLE_SHIPWRIGHT,port,port;shipyard;sea_trade,船坞匠人
43,salt_steward,BACKGROUND_NPC_ROLE_SALT_STEWARD,port,port;salt;sea_trade,盐仓管事
44,fisherman,BACKGROUND_NPC_ROLE_FISHERMAN,port,port;fishing;tide,渔民
45,pearl_diver,BACKGROUND_NPC_ROLE_PEARL_DIVER,port,port;pearl;tide,采珠人
46,chart_peddler,BACKGROUND_NPC_ROLE_CHART_PEDDLER,port,port;sea_chart;rumor,海图贩子
47,port_tax_collector,BACKGROUND_NPC_ROLE_PORT_TAX_COLLECTOR,port,port;tax;sea_trade,港口税吏
48,ship_captain,BACKGROUND_NPC_ROLE_SHIP_CAPTAIN,port,port;sea_trade;ship,船老大
49,post_station_master,BACKGROUND_NPC_ROLE_POST_STATION_MASTER,mountain_frontier,post;frontier;roadside,驿丞
50,mine_foreman,BACKGROUND_NPC_ROLE_MINE_FOREMAN,mountain_frontier,mining;frontier;market,矿队管事
51,miner,BACKGROUND_NPC_ROLE_MINER,mountain_frontier,mining;frontier,采矿苦工
52,ore_appraiser,BACKGROUND_NPC_ROLE_ORE_APPRAISER,mountain_frontier,mining;appraisal;market,矿石鉴货人
53,mountain_peddler,BACKGROUND_NPC_ROLE_MOUNTAIN_PEDDLER,mountain_frontier,frontier;market;roadside,山货脚商
54,ginseng_gatherer,BACKGROUND_NPC_ROLE_GINSENG_GATHERER,mountain_frontier,frontier;medicine;forest,采参人
55,lumberjack,BACKGROUND_NPC_ROLE_LUMBERJACK,wilderness,wild;forest;timber,伐木人
56,beast_keeper,BACKGROUND_NPC_ROLE_BEAST_KEEPER,sect_edge,sect;sect_edge;beast_pen,灵兽园饲养人
57,forge_artisan,BACKGROUND_NPC_ROLE_FORGE_ARTISAN,sect_edge,sect;sect_edge;forge,炼器坊匠人
