region_id,tile,landmark_asset
区域ID,底层地貌tile,大型视觉标记资源名，可空
101,plain,
102,desert,
103,rainforest,
104,glacier,
105,sea,
106,water,
107,mountain,
108,snow_mountain,
109,grassland,
110,forest,
111,volcano,
112,farm,
113,swamp,
114,mountain,
115,bamboo,
116,tundra,
117,gobi,
118,island,
201,mountain,cave
202,forest,cave
203,sea,cave
204,volcano,cave
205,mountain,cave
206,rainforest,ruin
207,sea,ruin
301,city,city_301
302,city,city_302
303,city,city_303
304,city,city_304
305,city,city_305
401,mountain,sect_1
402,rainforest,sect_2
403,sea,sect_3
404,sea,sect_4
405,plain,sect_5
406,city,sect_6
407,island,sect_7
408,swamp,sect_8
409,city,sect_9
410,mountain,sect_10
411,mountain,sect_11
412,glacier,sect_12
413,forest,sect_13
414,volcano,sect_14
