id,name,technique_root,grade,prompt,weight,condition
,名称,属性（金木水火土冰风暗雷邪）,品阶（上品/中品/下品）,提示词,抽样权重,条件（可用avatar/Alignment；邪功法需avatar.alignment=="邪"）
1,金光锻体诀,金,下品,以金行之锐炼体，淬骨锻筋，身如金铁。,1,
2,金阳炼锋法,金,中品,融日金之炽与锋，攻伐凌厉，破甲断金。,1,
3,太金元罡经,金,上品,凝太金元罡，身外生罡，破邪镇魔。,1,
4,青木养元诀,木,下品,借青木生机，缓缓滋养真元，稳固根基。,1,
5,碧林生息法,木,中品,汲林海生息，法源不竭，韧而不折。,1,
6,苍梧长生经,木,上品,执长生之理，枝繁叶茂，源远流长。,1,
7,寒渊凝息诀,水,下品,以寒渊静气收摄心神，润物无声。,1,
8,玄流化海法,水,中品,以玄流化百川，绵延不绝，攻守皆宜。,1,
9,太玄水灵经,水,上品,驭水灵真意，化海为掌，周天轮转。,1,
10,烈焰炽心诀,火,下品,借炽焰鼓荡心火，锐进猛攻，燃魂淬魄。,1,
11,赤炎炼真法,火,中品,以赤炎炼真元，去伪存真，攻势如潮。,1,
12,太阳离火经,火,上品,承离火至阳，万焰归一，一念焚天。,1,
13,厚土稳神诀,土,下品,以厚土安神定魄，稳如嶽立，不动如山。,1,
14,玄土定岳法,土,中品,以玄土凝岳势，千钧一力，镇压四方。,1,
15,元厚镇山经,土,上品,执元厚大道，山河为印，守中制外。,1,
16,霜华凝灵诀,冰,下品,以霜华凝灵，清寒护体，静定如冰。,1,
17,冰魄玄寒法,冰,中品,御玄寒之魄，封江冻海，缓而制敌。,1,
18,太霜玄冰经,冰,上品,执太霜真意，万里冰封，寒意透骨。,1,
19,疾风步气诀,风,下品,以清风导息，轻身迅行，形如掠影。,1,
20,清风御行法,风,中品,驭风而行，攻守兼备，灵动飘逸。,1,
21,太清御风经,风,上品,执太清之风，来去无踪，剑气乘风。,1,
22,幽影潜行诀,暗,下品,以幽影藏形，收敛锋芒，伺机而动。,1,
23,玄夜无相法,暗,中品,夜行无相，出入无痕，扰敌心魄。,1,
24,太玄幽冥经,暗,上品,执幽冥之理，虚实互转，影灭形生。,1,
25,霆罡淬体诀,雷,下品,以霆罡击体，筋骨更生，爆发迅猛。,1,
26,九霄雷养法,雷,中品,引九霄真雷，养气通窍，威势赫然。,1,
27,太清神霄经,雷,上品,执神霄正雷，镇压不祥，一念霹雳。,1,
28,血煞噬魂诀,邪,下品,以血煞邪意淬练，杀伐狠辣，损德造孽。,1,avatar.alignment == "邪"
29,冥狱吞灵法,邪,中品,以冥狱之道吞噬生灵，逆乱阴阳，增长极快。,1,avatar.alignment == "邪"
30,太阴噬天经,邪,上品,以太阴极恶之力，噬天吞地，万邪归宗。,1,avatar.alignment == "邪"

