id,name,technique_root,grade,desc,weight,condition,sect_id,effects
,Name,Attribute,Grade(Upper/Middle/Lower),Description/Prompt,Weight,Condition,Sect ID(Empty=Rogue),JSON Effects
1,Indestructible Vajra Body,Metal,Lower,One of the seventy-two supreme techniques of Shaolin, the whole body is as hard as diamond, invulnerable to weapons.,1,,,
2,Golden Bell Shield,Metal,Middle,Gathers qi into a bell to protect the body and reflect external forces.,1,,,"{""extra_battle_strength_points"": 3}"
4,Evergreen Art,Wood,Lower,Cultivating health and prolonging life, with long breath, a basic cultivation method for mortals.,1,,,
5,Azure Emperor Wood Emperor Art,Wood,Middle,Absorbing the essence of plants, life is unending, with vast imperial qi.,1,,,"{""extra_battle_strength_points"": 3}"
7,Ruoshui Formula,Water,Lower,The highest good is like water, water benefits all things without competing, soft and mellow.,1,,,
8,Black Emperor Water Emperor Fist,Water,Middle,Driving the flowing black water, as if the emperor himself arrives, grand and magnificent.,1,,,"{""extra_battle_strength_points"": 3}"
10,Fire Spirit Formula,Fire,Lower,The most basic spell, gathering fire to hurt enemies, simple and practical.,1,,,
11,Pure Yang Infinite Art,Fire,Middle,Pure Yang qi, fierce and unyielding, restraining cold and evil.,1,,,"{""extra_battle_strength_points"": 3}"
13,Mountain Moving Formula,Earth,Lower,Able to lift a tripod with strength, with long physical power, like a tiger coming down the mountain.,1,,,
14,Immovable Wisdom King Formula,Earth,Middle,Immovable as a mountain, moving like a thunderbolt, a Buddhist guardian divine skill.,1,,,"{""extra_battle_strength_points"": 3}"
16,Ice Heart Formula,Ice,Lower,The heart is clear as ice, heaven falling will not startle, focusing and calming the mind.,1,,,
17,Profound Ice Power,Ice,Middle,Cold qi reaches the bone, freezing meridians, sinister and overbearing.,1,,,"{""extra_battle_strength_points"": 3}"
19,Divine Movement Hundred Transformations,Wind,Lower,Agile movement, ever-changing, first-rate for escaping.,1,,,
20,Cloud Treading Step,Wind,Middle,Wudang's supreme skill, left foot stepping on the right foot, directly up to the green clouds.,1,,,"{""extra_battle_strength_points"": 3}"
22,Breath Concealment Technique,Dark,Lower,Concealing breath, like dead wood and cold ashes, making it difficult for others to detect.,1,,,
23,Ghostly Shadow Track,Dark,Middle,Elusive as a ghost, with mysterious steps.,1,,,"{""extra_battle_strength_points"": 3}"
25,Palm Lightning,Thunder,Lower,A righteous Daoist spell, lightning emitted from the palm, intimidating evil spirits.,1,,,
26,Five Thunders Orthodoxy,Thunder,Middle,Employing the five elements of thunder, fierce and overbearing, indestructible.,1,,,"{""extra_battle_strength_points"": 3}"
28,Blood Burning Grand Art,Evil,Lower,Burning essence blood for a short burst of strength, followed by weakness.,1,,,"{extra_breakthrough_success_rate: -0.1, extra_cultivate_exp: 50, extra_battle_strength_points: 2}"
29,Star Absorbing Grand Art,Evil,Middle,Absorbing others' internal power for own use, extraordinarily overbearing, often with backlash.,1,,,"{""extra_breakthrough_success_rate"": -0.1, ""extra_cultivate_exp"": 50, ""extra_battle_strength_points"": 3}"
30,Grass Word Sword Formula,Metal,Upper,A single blade of grass cuts through the sun, moon, and stars, one of the three great sword formulas of the Perfect World.,10,,1,"{""extra_battle_strength_points"": 6}"
31,Divine Sword Lightning Control True Formula,Thunder,Upper,Nine heavens profound lightning, transformed into divine thunder. Grand heavenly majesty, guided by the sword.,10,,1,"{""extra_battle_strength_points"": 6}"
32,Great River Sword Intent,Fire,Upper,Don't you see the Yellow River's water coming from the sky, rushing to the sea and never returning.,10,,1,"{""extra_battle_strength_points"": 6}"
33,Azure Emperor Longevity Formula,Wood,Upper,Created by the Azure Emperor, the highest Wood-system cultivation method, unending life, dead wood encountering spring.,10,,2,"{""extra_battle_strength_points"": 5, ""extra_refine_success_rate"": 0.1}"
34,God Elephant Overpowering Prison Strength,Earth,Upper,Guiding spirit with qi, forming an elephant with spirit, every move suppresses hell.,10,,2,"{""extra_battle_strength_points"": 6}"
35,Kunpeng Treasure Technique,Evil,Upper,Entering the sea as a Kun, rising as a Peng. Yin-Yang changes, extreme speed and devouring.,10,,2,"{""extra_breakthrough_success_rate"": -0.1, ""extra_cultivate_exp"": 50, ""extra_battle_strength_points"": 6, ""extra_move_step"": 1}"
36,Void Scripture,Water,Upper,Proving the Dao through infinite void, controlling space, inherently invincible.,10,,3,"{""extra_battle_strength_points"": 6}"
37,Supreme Amorous Record,Ice,Upper,Supreme amorousness is not emotionless, but forgetting emotion. Utmost justice and fairness, with infinite power.,10,,3,"{""extra_battle_strength_points"": 6}"
38,Carefree Travel,Wind,Upper,Riding the correctness of heaven and earth, and controlling the changes of the six qi to travel infinitely.,10,,3,"{""extra_battle_strength_points"": 6, ""extra_move_step"": 1}"
39,Heaven Devouring Demonic Art,Dark,Upper,Created by the Ruthless Emperor, devouring ten thousand constitutions to forge the Chaos Body.,10,,4,"{""extra_battle_strength_points"": 6}"
40,Heavenly Demonic Manual,Evil,Upper,The highest treasure book of the demonic gate, all-encompassing, pointing directly to shattering the void.,10,,4,"{""extra_breakthrough_success_rate"": -0.1, ""extra_cultivate_exp"": 50, ""extra_battle_strength_points"": 6}"
41,Styx True Scripture,Ice,Upper,The sea of blood never dries, the Styx never dies. Evolves into 480 million blood god sons.,10,,4,"{""extra_battle_strength_points"": 6}"
42,Flame Formula,Fire,Upper,Evolving the technique by devouring exotic flames, with infinite potential, commanding all fires.,10,,5,"{""extra_battle_strength_points"": 6, ""extra_cast_success_rate"": 0.1, ""extra_refine_success_rate"": 0.1}"
43,Dao Heart Demonic Seed Grand Art,Dark,Upper,Using others as furnaces to plant demonic seeds, seizing the creation of heaven and earth.,10,,5,"{""extra_battle_strength_points"": 6}"
44,Great Derivation Formula,Metal,Upper,Specializing in divine sense, able to multitask and control ten thousand puppets.,10,,5,"{""extra_battle_strength_points"": 6}"
45,Great Bliss Ode,Water,Upper,The Great Dao of Yin and Yang, ascending in extreme bliss. The highest method of dual cultivation.,10,,6,"{""extra_battle_strength_points"": 6}"
46,Heavenly Demonic Dance,Dark,Upper,The dance of extraterrestrial demons, soul-hooking and mind-disturbing.,10,,6,"{""extra_battle_strength_points"": 6}"
47,Lingbo Microsteps,Wind,Upper,Moving as fast as a flying duck, elusive as a god, socks creating dust.,10,,6,"{""extra_battle_strength_points"": 6, ""extra_escape_success_rate"": 0.2}"
48,Past Amitabha Scripture,Earth,Upper,The soul is indestructible, transcending to the other shore. Cultivating the past two constants, eternal through ten thousand calamities.,10,,7,"{""extra_battle_strength_points"": 6}"
49,Shenxiao Lightning Method,Thunder,Upper,The orthodox Daoist lightning method, employing Shenxiao heavenly thunder to eliminate evil.,10,,7,"{""extra_battle_strength_points"": 6}"
50,Nine Character Mantras,Metal,Upper,Lin, Bing, Dou, Zhe, Jie, Zhen, Lie, Qian, Xing. The supreme incantation of the Daoist gate.,10,,7,"{""extra_battle_strength_points"": 6}"
51,Underworld Ghost Claw,Dark,Upper,Sinister and ruthless, specifically breaking internal true qi, death upon touch.,10,,8,"{""extra_battle_strength_points"": 6}"
52,Three Thousand Lightning Movements,Wind,Upper,Body transforming into lightning, thousands of miles in an instant, with many afterimages.,10,,8,"{""extra_battle_strength_points"": 6}"
53,Blood Nerve Scripture,Evil,Upper,Human skin as paper, fresh blood as ink. Cultivators must first skin and devour blood.,10,,8,"{""extra_breakthrough_success_rate"": -0.1, ""extra_cultivate_exp"": 50, ""extra_battle_strength_points"": 6}"
54,Divine Mechanism Hundred Refinements,Metal,Upper,The peak of artifact refining, turning decay into magic, everything can be a weapon.,10,,9,"{""extra_battle_strength_points"": 4, ""extra_cast_success_rate"": 0.2}"
55,Great Array of Stellar Constellations,Earth,Upper,Attracting the stellar power of the sky, evolving the universe and wilderness, combining offense and defense.,10,,9,"{""extra_battle_strength_points"": 6}"
56,Ground Shrinking Golden Light,Wind,Upper,A supreme skill of the Chan Sect, transforming into a golden light, thousands of miles in an instant.,10,,9,"{""extra_battle_strength_points"": 6, ""extra_move_step"": 2}"
