given_name,gender,sect_id,cond
Given Name,"Gender(0=Female,1=Male)",Sect ID,Condition
Minh,1,,
Tuấn,1,,
Hùng,1,,
Dũng,1,,
Quang,1,,
Hải,1,,
Long,1,,
Phong,1,,
Kiên,1,,
Thắng,1,,
Đức,1,,
Trung,1,,
Bảo,1,,
Thiên,1,,
Nhật,1,,
Khôi,1,,
Nghĩa,1,,
Hiếu,1,,
Trí,1,,
Đạt,1,,
Lộc,1,,
Phúc,1,,
Cường,1,,
Sơn,1,,
Hào,1,,
Quân,1,,
Tiến,1,,
Thành,1,,
Đông,1,,
Nam,1,,
Vương,1,,
Kiệt,1,,
Huy,1,,
Khang,1,,
Lâm,1,,
Phát,1,,
Vinh,1,,
Toàn,1,,
Thịnh,1,,
Tùng,1,,
Trọng,1,,
Thiện,1,,
Định,1,,
Khải,1,,
Vân,0,,
Hương,0,,
Linh,0,,
Mai,0,,
Lan,0,,
Thu,0,,
Ngọc,0,,
Phượng,0,,
Yến,0,,
Hạnh,0,,
Trang,0,,
Thảo,0,,
Diệp,0,,
Vy,0,,
Nhi,0,,
Trinh,0,,
Duyên,0,,
Như,0,,
Uyên,0,,
Tuyết,0,,
Băng,0,,
Quỳnh,0,,
Châu,0,,
Liên,0,,
Nhung,0,,
Hằng,0,,
Thúy,0,,
Hiền,0,,
Phụng,0,,
Nguyệt,0,,
Diễm,0,,
Dao,0,,
Tiên,0,,
Dung,0,,
Cẩm,0,,
Ánh,0,,
Hạ,0,,
Khanh,0,,
Thanh,0,,
An,0,,
Bình,0,,
Xuân,0,,
Anh,1,,
Khánh,1,,
Tâm,1,,
Hoàng,1,,
Giang,1,,
Dương,1,,
Phương,1,,
Kỳ,1,,
Vệ,1,,
Hòa,1,,
